University,Latitude,Longitude,Biome,Proximity to nearest edge,Proximity to safety,Proximity to human structures,Date,Time,Clouds,Precipitation,Wind,Squirrel species,Total vigilance,Total foraging,Total Alert Feeding,Total social,Total other,Total out of sight,Notes and comments,Number of conspecifics,Direct interaction with conspecifics,Conspecifics within 15m,Notes on conspecific behavior,Number of humans present other than yourself,Direct interaction with humans,Humans within 15m ,Notes on human behavior,Number of dogs present,Direct interaction with dogs,Dogs within 15m,Notes on dog behavior,Other animals present
Gonzaga University,47.6676,-117.4043,Core college campus,> 10m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Friday, February 5, 2021",12:02:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),1.0,7.0,3.0,0,3.0,2,,0,No,No,,1.0,No,No,No direct interaction,1.0,Yes,Yes,"Dog chased the squirrel for a second but was on a leash, once the squirrel was about 20 m from the dog it ceased running. A"," Also a 1 bird present, but no interaction with the bird, less than a meter a part. "
Gonzaga University,47.6677,-117.40255,Core college campus,> 10m,3 - 15m,Within 15 meters of buildings,"Friday, February 5, 2021",12:05:00 AM,None,No,None,Eastern gray squirrel (Sciurus carolinensis),12.0,2.0,2.0,0,0.0,0,,0,,,,3.0,No,Yes,,1.0,No,Yes,Dog noticed squirrel and squirrel ran up tree to hide.,
Gonzaga University,47.66685,-117.40796,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Wednesday, February 3, 2021",12:15:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,1.0,15,,0,,,,3.0,,Yes,Walking past,0.0,,,,
Gonzaga University,47.66741,-117.40456,Core college campus,> 10m,0m,Within 15 meters of buildings,"Friday, February 5, 2021",12:15:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,16.0,0,focal animal sitting in a tree on a branch 3m above another squirrel,1,No,Yes,laying on a branch 3m below focal animal,2.0,No,No,observers,0.0,,,,
Gonzaga University,47.66941,-117.40673000000001,Core college campus,0 - 3m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Thursday, February 4, 2021",12:16:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),2.0,5.0,5.0,0,4.0,0,Squirrel was mainly foraging under a tree.,0,,,,0.0,,,,0.0,,,,
Gonzaga University,47.66753,117.40239,Core college campus,0 - 3m,< 3m,Within 15 meters of sidewalks,"Friday, February 5, 2021",12:20:00 AM,Partly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,6.0,0.0,10,0.0,0,"Squirrel was running around with another squirrel. It stop after seeing 3 humans, then begin foraging",1,Yes,Yes,,3.0,No,Yes,Squirrel stop running when it saw humans,0.0,,,,
Gonzaga University,47.66726,-117.404191,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Saturday, February 6, 2021",12:30:00 AM,None,,Light breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,1.0,0.0,0,12.0,1,"In tree/climbing a building majority of the time, spent the majority of the time resting",1,No,No,"squirrel right above the others in the tree, no interaction with each other",0.0,"No, NA","No, NA",,0.0,,,,
Gonzaga University,47.6651,-117.4211,Core college campus,> 10m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Sunday, February 7, 2021",12:30:00 AM,Mostly sunny,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,9.0,0.0,0,7.0,0,,0,No,No,,0.0,No,No,,0.0,No,No,,
Gonzaga University,47.668212,-117.40381299999999,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Monday, February 8, 2021",12:30:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),1.0,1.0,0.0,0,3.0,11,,0,,,,1.0,No,Yes,Walking Past,0.0,,,,
Gonzaga University,47.668440000000004,-117.40263,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Tuesday, February 9, 2021",12:50:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),4.0,6.0,0.0,0,3.0,3,,0,,,,4.0,No,Yes,Walking past,0.0,,,,
Gonzaga University,47.66933,117.40839,Core college campus,0 - 3m,3 - 15m,Within 15 meters of buildings,"Wednesday, February 10, 2021",1:23:00 AM,Partly cloudy,No,None,Eastern gray squirrel (Sciurus carolinensis),5.0,1.0,0.0,0,5.0,5,Squirrel ran behind building for about a minute so no observations were made,0,No,No,,0.0,No,No,,0.0,No,No,,
Gonzaga University,47.66933,117.40839,Core college campus,0 - 3m,3 - 15m,Within 15 meters of buildings,"Thursday, February 11, 2021",1:23:00 AM,Partly cloudy,No,None,Eastern gray squirrel (Sciurus carolinensis),5.0,1.0,0.0,0,5.0,5,Squirrel ran behind building for about a minute so no observations were made,0,No,No,,0.0,No,No,,0.0,No,No,,
Gonzaga University,47.66791,-117.40387,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Friday, February 12, 2021",1:26:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,16.0,0.0,0,0.0,0,,0,No,No,,0.0,No,Yes,,0.0,No,No,,
Gonzaga University,47.668192,-117.40298100000001,Core college campus,0 - 3m,3 - 15m,Within 15 meters of sidewalks,"Saturday, February 13, 2021",1:55:00 AM,Partly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,6.0,8.0,0,2.0,0,,0,,,,0.0,,,,0.0,,,,
Gonzaga University,47.66715,-117.40158999999998,Core college campus,> 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Sunday, February 14, 2021",1:59:00 AM,Mostly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,9.0,4.0,0,1.0,0,,0,No,No,,9.0,No,No,,0.0,No,No,,
